INI_SIGN_MONTH,INI_CONTRACT_TYPE,CONTRACT1_TYPE,CONTRACT2_TYPE,CONTRACT3_TYPE,CONTRACTS,CONTRACTS_GR,DUR_INI_FIRST,DUR_INI_SECOND,DUR_INI_THIRD,DUR_FIRST_SECOND,DUR_FIRST_THIRD,DUR_SECOND_THIRD,CLIENTS
2021-06-01,CD,CD,NC,NC,1,1,13.0,,,,,,595
2021-06-01,CD,CD,NC,NC,1,1,14.0,,,,,,501
2021-06-01,TW,CL,CL,NC,2,2,13.0,22.0,,9.0,,,1
2021-05-01,CD,CD,CL,NC,2,2,16.0,38.0,,22.0,,,1
2021-06-01,CD,CL,NC,NC,1,1,38.0,,,,,,17
2021-06-01,CD,CD,CD,CD,3,3,24.0,30.0,32.0,6.0,8.0,2.0,1
2021-05-01,CD,CD,NC,NC,1,1,38.0,,,,,,430
2021-06-01,CD,CD,NC,NC,1,1,28.0,,,,,,363
2021-06-01,CD,CD,NC,NC,1,1,8.0,,,,,,617
2021-05-01,CD,CD,NC,NC,1,1,15.0,,,,,,549
2021-05-01,CD,CD,CD,NC,2,2,4.0,16.0,,12.0,,,6
2021-05-01,CD,CD,CD,NC,2,2,15.0,23.0,,8.0,,,17
2021-05-01,CD,CD,CD,CD,3,3,6.0,10.0,30.0,4.0,24.0,20.0,1
2021-05-01,CD,CD,NC,NC,1,1,14.0,,,,,,662
2021-06-01,CD,CD,CC,NC,2,2,10.0,10.0,,0.0,,,15
2021-07-01,CD,CD,CD,CD,4,3+,14.0,17.0,22.0,3.0,8.0,5.0,1
2021-05-01,CD,CD,CC,CD,4,3+,9.0,9.0,10.0,0.0,1.0,1.0,1
2021-06-01,CD,CD,NC,NC,1,1,4.0,,,,,,524
2021-07-01,CD,CL,CD,NC,2,2,4.0,26.0,,22.0,,,1
2021-07-01,CD,CD,CL,CD,10,3+,2.0,8.0,8.0,6.0,6.0,0.0,1
2021-06-01,TW,CL,CC,CL,4,3+,10.0,16.0,27.0,6.0,17.0,11.0,1
2021-05-01,CD,CD,NC,NC,1,1,40.0,,,,,,388
2021-07-01,CD,CD,CD,CD,3,3,6.0,11.0,35.0,5.0,29.0,24.0,1
2021-07-01,CD,CD,NC,NC,1,1,29.0,,,,,,206
2021-05-01,CD,CD,NC,NC,1,1,2.0,,,,,,281
2021-07-01,CD,CL,CD,NC,2,2,5.0,15.0,,10.0,,,2
2021-05-01,CD,CD,CL,NC,2,2,8.0,16.0,,8.0,,,4
2021-05-01,CD,CD,CD,NC,2,2,24.0,34.0,,10.0,,,8
2021-06-01,CD,CD,CD,CC,5,3+,12.0,16.0,21.0,4.0,9.0,5.0,1
